DL,D,DU,B
-0.006775935351527107,1.0,-1.0,0.0
-0.006775934754340916,0.013587133322386608,-0.006775937441924648,-0.0025626122330095315
-0.006775934583722024,0.013587130634802875,-0.006775935351527107,-0.0007321749237153199
-0.006775934534974237,0.013587129866997791,-0.006775934754340916,-0.0002091928353474941
-0.006775934521046335,0.013587129647631112,-0.006775934583722024,-5.976938152798539e-5
-0.006775934517066939,0.013587129584955424,-0.006775934534974237,-1.707696615085297e-5
-0.006775934515929968,0.013587129567048127,-0.006775934521046335,-4.879133186477702e-6
-0.006775934515605119,0.01358712956193176,-0.006775934517066939,-1.394038052239921e-6
-0.0067759345155123055,0.013587129560469941,-0.006775934515929968,-3.982965881732525e-7
-0.006775934515485788,0.013587129560052279,-0.006775934515605119,-1.1379902389307973e-7
-0.00677593451547821,0.013587129559932945,-0.0067759345155123055,-3.2514006306882946e-8
-0.006775934515476046,0.013587129559898851,-0.006775934515485788,-9.289717127103359e-9
-0.006775934515475428,0.01358712955988911,-0.00677593451547821,-2.654204763530288e-9
-0.006775934515475251,0.013587129559886326,-0.006775934515476046,-7.583439582958817e-10
-0.006775934515475201,0.01358712955988553,-0.006775934515475428,-2.1666983229806646e-10
-0.006775934515475186,0.013587129559885303,-0.006775934515475251,-6.190566637087614e-11
-0.006775934515475182,0.013587129559885239,-0.006775934515475201,-1.7686943465378135e-11
-0.006775934515475181,0.013587129559885221,-0.006775934515475186,-5.053152563050389e-12
-0.006775934515475181,0.013587129559885216,-0.006775934515475182,-1.4442775864154101e-12
-0.00677593451547518,0.013587129559885214,-0.006775934515475181,-4.120010999031365e-13
-0.00677593451547518,0.013587129559885214,-0.006775934515475181,-1.1823431123048067e-13
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,-3.365130396559834e-14
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,-1.000444171950221e-14
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,-2.7284841053187848e-15
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,-1.8189894035458565e-15
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
-0.00677593451547518,0.013587129559885214,-0.00677593451547518,0.0
